Epoch,Train Loss,Val Loss
1,1.7745513427548292,1.7761627298135023
2,1.7745513427548292,1.7786635435544527
3,1.7745513427548292,1.7776218698574946
4,1.7745513427548292,1.7752507879183843
5,1.7745513427548292,1.776387402644524
6,1.7745513427548292,1.778786443747007
7,1.7745513427548292,1.7759817838668823
8,1.7745513427548292,1.7811157978498018
9,1.7745513427548292,1.7759135136237512
10,1.7745513427548292,1.780838104394766
11,1.7745513427548292,1.7748303505090566
12,1.7745513427548292,1.7792989428226764
13,1.7745513427548292,1.7836526586459234
14,1.7745513427548292,1.7759068470734816
15,1.7745513427548292,1.777796222613408
16,1.7745513427548292,1.7736411782411428
17,1.7745513427548292,1.775490925862239
18,1.7745513427548292,1.776617339024177
19,1.7745513427548292,1.7764181586412282
20,1.7745513427548292,1.7790518082105196
